cold-hot,fat-thin,funny-sad,red-green,horrible-fantastic,stupid-intellectual,sparkling-still,Agreeable,Creative,Determined,Energetic,Funny,Polite,Kind,Arrogant,Cruel,Grumpy,Impatient,Jealous,Rude,Unhappy,Bold,Fierce,Meticulous,Restless,Sly,Talkative,Unpredictable,q1,q2,q3,q4,q5,name,age,language,gender
7,2,2,3,3,4,6,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,loyal,red,hairy,loyal,blue,alice,21,swedish,female
7,1,2,4,3,5,5,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,likeable,green,fat,likeable,red,bob,22,spanish,male
3,2,3,5,3,5,5,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,happy,blue,biker,happy,loyal,carol,33,norwegian,female
3,1,2,4,3,4,6,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,green,red,fighting,green,likeable,dave,24,welsh,male
7,2,2,3,3,3,7,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,sad,loyal,heroic,fat,happy,edwina,56,german,female
7,3,3,3,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,inventive,likeable,fat,thin,happy,fred,34,0,male
7,3,3,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,reliable,happy,thin,blue,green,georgia,21,0,female
7,3,4,2,3,2,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,resourceful,green,fat,red,fat,harry,22,0,male
7,3,4,3,4,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,witty,blue,green,loyal,thin,isobel,31,0,female
7,3,5,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,clean,black,happy,likeable,fat,jack,45,0,male
7,3,4,3,4,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,witty,blue,green,loyal,thin,karen,32,0,female
4,3,5,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,clean,black,happy,likeable,fat,leo,35,0,male
